timestamp, decisao, erro
1770323646.1401267,Curva a Direita,13.5
1770323646.187333,Curva a Direita,12.5
1770323646.2373753,Curva a Direita,12.0
1770323646.283696,Curva a Direita,11.0
1770323646.3513694,Curva a Direita,9.5
1770323646.39762,Curva a Direita,9.5
1770323646.4564407,Curva a Direita,9.0
1770323646.5835915,Curva a Direita,8.5
1770323646.6518888,Curva a Direita,9.0
1770323646.720093,Curva a Direita,8.5
1770323646.761381,Em frente,8.0
1770323646.8182516,Curva a Direita,9.0
1770323646.8973103,Curva a Direita,9.5
1770323646.981346,Curva a Direita,10.5
1770323647.0417225,Curva a Direita,11.5
1770323647.1290865,Curva a Direita,11.5
1770323647.180544,Curva a Direita,11.5
1770323647.223639,Curva a Direita,11.5
1770323647.2774894,Curva a Direita,10.5
1770323647.3341005,Curva a Direita,10.0
1770323647.3815749,Curva a Direita,10.0
1770323647.428164,Curva a Direita,9.5
1770323647.4776692,Curva a Direita,9.0
1770323647.543657,Em frente,7.5
1770323647.5901606,Em frente,6.5
1770323647.635336,Em frente,5.0
1770323647.6834462,Em frente,3.5
1770323647.7322977,Em frente,2.0
1770323647.7798054,Em frente,0.5
1770323647.850202,Em frente,0.0
1770323647.9136055,Curva a Esquerda,-0.5
1770323647.9727042,Curva a Esquerda,-1.5
1770323648.0352232,Curva a Esquerda,-2.0
1770323648.08597,Em frente,0.0
1770323648.1337664,Em frente,1.5
1770323648.1859963,Em frente,3.0
1770323648.2307913,Em frente,5.0
1770323648.2960577,Em frente,6.5
1770323648.3489904,Curva a Direita,8.5
1770323648.4218342,Curva a Direita,9.5
1770323648.4830885,Curva a Direita,9.0
1770323648.528023,Curva a Direita,10.0
1770323648.572115,Curva a Direita,11.0
1770323648.629897,Curva a Direita,10.0
1770323648.6823416,Curva a Direita,10.5
1770323648.7301533,Curva a Direita,10.0
1770323648.7778451,Curva a Direita,9.0
1770323648.8269541,Curva a Direita,9.0
1770323648.8888059,Em frente,7.5
1770323648.95608,Em frente,7.5
1770323649.0001202,Em frente,8.0
1770323649.0472426,Em frente,6.5
1770323649.103457,Em frente,6.5
1770323649.1748765,Em frente,5.5
1770323649.221723,Em frente,5.0
1770323649.2678277,Em frente,4.5
1770323649.315137,Em frente,4.0
1770323649.372225,Em frente,3.0
1770323649.4338508,Em frente,2.5
1770323649.4818761,Em frente,2.5
1770323649.5519223,Em frente,2.0
1770323649.596794,Em frente,1.5
1770323649.646642,Em frente,1.5
1770323649.712415,Em frente,1.5
1770323649.7604787,Em frente,0.0
1770323649.802319,Em frente,0.0
1770323649.8697886,Em frente,0.0
1770323649.9170036,Curva a Esquerda,-0.5
1770323649.9648426,Curva a Esquerda,-1.0
1770323650.011131,Curva a Esquerda,-1.0
1770323650.0577135,Curva a Esquerda,-2.0
1770323650.1156335,Curva a Esquerda,-2.0
1770323650.170809,Curva a Esquerda,-2.0
1770323650.2179906,Curva a Esquerda,-2.0
1770323650.2620735,Curva a Esquerda,-2.0
1770323650.309751,Curva a Esquerda,-2.0
1770323650.3557508,Curva a Esquerda,-2.5
1770323650.4061158,Curva a Esquerda,-2.5
1770323650.4518397,Curva a Esquerda,-2.5
1770323650.5004854,Curva a Esquerda,-2.5
1770323650.546793,Curva a Esquerda,-2.0
1770323650.5937815,Curva a Esquerda,-2.0
1770323650.6644716,Curva a Esquerda,-2.0
1770323650.7141876,Curva a Esquerda,-2.0
1770323650.7798734,Curva a Esquerda,-2.5
1770323650.8439162,Curva a Esquerda,-2.0
1770323650.902525,Curva a Esquerda,-2.0
1770323650.9465175,Curva a Esquerda,-1.5
1770323650.9976578,Curva a Esquerda,-1.5
1770323651.0414884,Curva a Esquerda,-1.0
1770323651.087156,Curva a Esquerda,-1.0
1770323651.1340861,Em frente,0.0
1770323651.1837044,Em frente,0.5
1770323651.2298486,Em frente,1.5
1770323651.2782664,Em frente,2.0
1770323651.3471968,Em frente,2.5
1770323651.3922293,Em frente,3.0
1770323651.442095,Em frente,4.5
1770323651.4879708,Em frente,5.0
1770323651.5319452,Em frente,6.5
1770323651.578653,Em frente,7.5
1770323651.6554306,Em frente,8.0
1770323651.738805,Curva a Direita,9.0
1770323651.796475,Curva a Direita,10.0
1770323651.8592026,Curva a Direita,10.5
1770323651.9232903,Curva a Direita,11.5
1770323651.9774358,Curva a Direita,12.5
1770323652.0290956,Curva a Direita,12.5
1770323652.0746121,Curva a Direita,13.0
1770323652.1215043,Curva a Direita,13.5
1770323652.1675863,Curva a Direita,14.5
1770323652.2156386,Curva a Direita,14.5
1770323652.263514,Curva a Direita,15.5
1770323652.3409739,Curva a Direita,15.5
1770323652.403108,Curva a Direita,16.5
1770323652.4644186,Curva a Direita,16.5
1770323652.5259519,Curva a Direita,17.0
1770323652.6097586,Curva a Direita,16.5
1770323652.6687105,Curva a Direita,16.5
1770323652.7399976,Curva a Direita,16.5
1770323652.7906458,Curva a Direita,16.5
1770323652.837167,Curva a Direita,16.5
1770323652.881482,Curva a Direita,16.5
1770323652.9319246,Curva a Direita,16.5
1770323652.975609,Curva a Direita,16.0
1770323653.0224314,Curva a Direita,16.0
1770323653.070052,Curva a Direita,16.0
1770323653.1461318,Curva a Direita,16.5
1770323653.1996593,Curva a Direita,16.5
1770323653.26548,Curva a Direita,17.0
1770323653.3134382,Curva a Direita,17.5
1770323653.365044,Curva a Direita,18.5
1770323653.4388275,Curva a Direita,19.0
1770323653.481432,Curva a Direita,19.5
1770323653.5289915,Curva a Direita,19.5
1770323653.6021974,Curva a Direita,19.5
1770323653.6657028,Curva a Direita,20.5
1770323653.7486534,Curva a Direita,21.5
1770323653.8066885,Curva a Direita,22.0
1770323653.8769112,Curva a Direita,23.0
1770323653.9303448,Curva a Direita,24.5
1770323653.9859035,Curva a Direita,25.0
1770323654.040477,Curva a Direita,26.0
1770323654.0888166,Curva a Direita,27.5
1770323654.1334102,Curva a Direita,29.5
1770323654.194442,Curva a Direita,31.0
1770323654.2452862,Curva a Direita,32.0
1770323654.322775,Curva a Direita,33.0
1770323654.3805964,Curva a Direita,34.0
1770323654.4452026,Curva a Direita,34.5
1770323654.5087488,Curva a Direita,35.0
1770323654.5609317,Curva a Direita,35.5
